Checker Name,Golden State DeLorme Challenge,,,
34.950000,34.308330,-114.516670,-115.100000,Page 134
34.950000,34.308330,-113.933330,-114.516670,Page 135
34.308330,33.941670,-119.183330,-119.766670,Page 138
34.308330,33.941670,-118.600000,-119.183330,Page 139
33.525000,33.250000,-118.283330,-118.633330,Page 139 Catalina
34.308330,33.666670,-118.016670,-118.600000,Page 140
34.308330,33.666670,-117.433330,-118.016670,Page 141
34.308330,33.666670,-116.850000,-117.433330,Page 142
34.308330,33.666670,-116.266670,-116.850000,Page 143
34.308330,33.666670,-115.683330,-116.266670,Page 144
34.308330,33.666670,-115.100000,-115.683330,Page 145
34.308330,33.666670,-114.516670,-115.100000,Page 146
34.308330,33.666670,-113.933330,-114.516670,Page 147
33.666670,33.025000,-117.433330,-118.016670,Page 148
33.666670,33.025000,-116.850000,-117.433330,Page 149
33.666670,33.025000,-116.266670,-116.850000,Page 150
33.666670,33.025000,-115.683330,-116.266670,Page 151
33.666670,33.025000,-115.100000,-115.683330,Page 152
33.666670,33.025000,-114.516670,-115.100000,Page 153
33.025000,32.383330,-116.850000,-117.433330,Page 154
33.025000,32.383330,-116.266670,-116.850000,Page 155
33.025000,32.383330,-115.683330,-116.266670,Page 156
33.025000,32.383330,-115.100000,-115.683330,Page 157
33.025000,32.383330,-114.516670,-115.100000,Page 158
33.025000,32.383330,-113.933330,-114.516670,Page 159
