Checker Name,California DeLorme Challenge (Southern and Central),,,
34.500000,34.000000,-114.102220,-114.375000,Page 102
34.000000,33.500000,-118.312500,-118.700000,Page 102
34.000000,33.500000,-117.875000,-118.312500,Page 103
34.000000,33.500000,-117.437500,-117.875000,Page 104
34.000000,33.500000,-117.000000,-117.437500,Page 105
34.000000,33.500000,-116.562500,-117.000000,Page 106
34.000000,33.500000,-116.125000,-116.562500,Page 107
34.000000,33.500000,-115.687500,-116.125000,Page 108
34.000000,33.500000,-115.250000,-115.687500,Page 109
34.000000,33.500000,-114.812500,-115.250000,Page 110
34.000000,33.500000,-114.375000,-114.812500,Page 111
33.500000,33.200000,-117.437500,-118.650000,Page 112
33.500000,33.000000,-117.000000,-117.437500,Page 113
33.500000,33.000000,-116.562500,-117.000000,Page 114
33.500000,33.000000,-116.125000,-116.562500,Page 115
33.500000,33.000000,-115.687500,-116.125000,Page 116
33.500000,33.000000,-115.250000,-115.687500,Page 117
33.500000,33.000000,-114.812500,-115.250000,Page 118
33.500000,33.000000,-114.375000,-114.812500,Page 119
33.000000,32.500000,-117.000000,-117.437500,Page 121
33.000000,32.500000,-116.562500,-117.000000,Page 122
33.000000,32.500000,-116.125000,-116.562500,Page 123
33.000000,32.500000,-115.687500,-116.125000,Page 124
33.000000,32.500000,-115.250000,-115.687500,Page 125
33.000000,32.500000,-114.812500,-115.250000,Page 126
33.000000,32.500000,-114.375000,-114.812500,Page 127
35.500000,35.000000,-120.937500,-121.375000,Page 58
